#pickupNodes:3 interNodes:4 placeNodes:4
param startNode = 0;
param endNode = 12;
param T = 8.0;
param nrAGVs = 2;
param nTasks = 4;
param travelTask = 0;
param edgeCap = 1;
param epsilon = 1;
param taskLowerBound = 1;

param : ARCS :TAU :=
0 1 0
0 2 0
0 3 0
1 2 2
2 1 2
2 3 2
3 2 2
1 4 2
2 5 2
3 6 2
4 5 2
5 4 2
5 6 2
6 5 2
6 7 2
7 6 2
4 8 2
5 9 2
6 10 2
7 11 2
8 9 2
9 8 2
9 10 2
10 9 2
10 11 2
11 10 2
8 12 0
9 12 0
10 12 0
11 12 0
8 1 0
8 2 0
8 3 0
9 1 0
9 2 0
9 3 0
10 1 0
10 2 0
10 3 0
11 1 0
11 2 0
11 3 0;

param :src_tasks :=
1 1
2 1
3 1
4 3;

param :snk_tasks :=
1 7
2 10
3 8
4 7;
