# 6 pickup, 10 place, xdistance = 2
param startNode = 0;
param endNode = 27;
param T = 100;
param nrAGVs = 2;
param nTasks = 10;
param travelTask = 0;
param edgeCap = 1;
param epsilon = 1;
param taskLowerBound = 1;

param : ARCS :TAU :=
0 1 0
0 2 0
0 3 0
0 4 0
0 5 0
0 6 0
1 7 2
7 1 2
1 8 3
8 1 3
1 9 4
9 1 4
1 10 6
10 1 6
1 11 8
11 1 8
1 12 10
12 1 10
1 13 12
13 1 12
1 14 14
14 1 14
1 15 16
15 1 16
1 16 18
16 1 18
2 7 3
7 2 3
2 8 2
8 2 2
2 9 3
9 2 3
2 10 4
10 2 4
2 11 6
11 2 6
2 12 8
12 2 8
2 13 10
13 2 10
2 14 12
14 2 12
2 15 14
15 2 14
2 16 16
16 2 16
3 7 4
7 3 4
3 8 3
8 3 3
3 9 2
9 3 2
3 10 3
10 3 3
3 11 4
11 3 4
3 12 6
12 3 6
3 13 8
13 3 8
3 14 10
14 3 10
3 15 12
15 3 12
3 16 14
16 3 14
4 7 6
7 4 6
4 8 4
8 4 4
4 9 3
9 4 3
4 10 2
10 4 2
4 11 3
11 4 3
4 12 4
12 4 4
4 13 6
13 4 6
4 14 8
14 4 8
4 15 10
15 4 10
4 16 12
16 4 12
5 7 8
7 5 8
5 8 6
8 5 6
5 9 4
9 5 4
5 10 3
10 5 3
5 11 2
11 5 2
5 12 3
12 5 3
5 13 4
13 5 4
5 14 6
14 5 6
5 15 8
15 5 8
5 16 10
16 5 10
6 7 10
7 6 10
6 8 8
8 6 8
6 9 6
9 6 6
6 10 4
10 6 4
6 11 3
11 6 3
6 12 2
12 6 2
6 13 3
13 6 3
6 14 4
14 6 4
6 15 6
15 6 6
6 16 8
16 6 8
7 17 2
17 7 2
7 18 3
18 7 3
7 19 4
19 7 4
7 20 6
20 7 6
7 21 8
21 7 8
7 22 10
22 7 10
7 23 12
23 7 12
7 24 14
24 7 14
7 25 16
25 7 16
7 26 18
26 7 18
8 17 3
17 8 3
8 18 2
18 8 2
8 19 3
19 8 3
8 20 4
20 8 4
8 21 6
21 8 6
8 22 8
22 8 8
8 23 10
23 8 10
8 24 12
24 8 12
8 25 14
25 8 14
8 26 16
26 8 16
9 17 4
17 9 4
9 18 3
18 9 3
9 19 2
19 9 2
9 20 3
20 9 3
9 21 4
21 9 4
9 22 6
22 9 6
9 23 8
23 9 8
9 24 10
24 9 10
9 25 12
25 9 12
9 26 14
26 9 14
10 17 6
17 10 6
10 18 4
18 10 4
10 19 3
19 10 3
10 20 2
20 10 2
10 21 3
21 10 3
10 22 4
22 10 4
10 23 6
23 10 6
10 24 8
24 10 8
10 25 10
25 10 10
10 26 12
26 10 12
11 17 8
17 11 8
11 18 6
18 11 6
11 19 4
19 11 4
11 20 3
20 11 3
11 21 2
21 11 2
11 22 3
22 11 3
11 23 4
23 11 4
11 24 6
24 11 6
11 25 8
25 11 8
11 26 10
26 11 10
12 17 10
17 12 10
12 18 8
18 12 8
12 19 6
19 12 6
12 20 4
20 12 4
12 21 3
21 12 3
12 22 2
22 12 2
12 23 3
23 12 3
12 24 4
24 12 4
12 25 6
25 12 6
12 26 8
26 12 8
13 17 12
17 13 12
13 18 10
18 13 10
13 19 8
19 13 8
13 20 6
20 13 6
13 21 4
21 13 4
13 22 3
22 13 3
13 23 2
23 13 2
13 24 3
24 13 3
13 25 4
25 13 4
13 26 6
26 13 6
14 17 14
17 14 14
14 18 12
18 14 12
14 19 10
19 14 10
14 20 8
20 14 8
14 21 6
21 14 6
14 22 4
22 14 4
14 23 3
23 14 3
14 24 2
24 14 2
14 25 3
25 14 3
14 26 4
26 14 4
15 17 16
17 15 16
15 18 14
18 15 14
15 19 12
19 15 12
15 20 10
20 15 10
15 21 8
21 15 8
15 22 6
22 15 6
15 23 4
23 15 4
15 24 3
24 15 3
15 25 2
25 15 2
15 26 3
26 15 3
16 17 18
17 16 18
16 18 16
18 16 16
16 19 14
19 16 14
16 20 12
20 16 12
16 21 10
21 16 10
16 22 8
22 16 8
16 23 6
23 16 6
16 24 4
24 16 4
16 25 3
25 16 3
16 26 2
26 16 2
17 27 0
18 27 0
19 27 0
20 27 0
21 27 0
22 27 0
23 27 0
24 27 0
25 27 0
26 27 0;

param :src_tasks :=
1 4
2 5
3 3
4 1
5 5
6 2
7 2
8 3
9 4
10 2;

param :snk_tasks :=
1 22
2 19
3 16
4 18
5 20
6 18
7 20
8 25
9 23
10 17;
