#pickupNodes:4 interNodes:4 placeNodes:4
param startNode = 0;
param endNode = 13;
param T = 50.0;
param nrAGVs = 17;
param nTasks = 4;
param travelTask = 0;
param edgeCap = 1;
param epsilon = 1;
param taskLowerBound = 1;

param : ARCS :TAU :=
0 1 0
0 2 0
0 3 0
0 4 0
1 2 2
2 1 2
2 3 2
3 2 2
3 4 2
4 3 2
1 5 2
5 1 2
2 6 2
6 2 2
3 7 2
7 3 2
4 8 2
8 4 2
5 6 2
6 5 2
6 7 2
7 6 2
7 8 2
8 7 2
5 9 2
9 5 2
6 10 2
10 6 2
7 11 2
11 7 2
8 12 2
12 8 2
9 10 2
10 9 2
10 11 2
11 10 2
11 12 2
12 11 2
9 13 0
10 13 0
11 13 0
12 13 0;

param :src_tasks :=
1 3
2 2
3 4
4 3;

param :snk_tasks :=
1 11
2 11
3 10
4 9;
